,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
788326,131350503112012,131350504463-bg_centroid,6832.513283988784,Gwinett_GA,,33.8834586,-84.193294,33.9440233,-84.2057906,,31,2,29,28,4,14,1,8,0,1,211807.9118036523,11.460376376924026,1,1.0
788917,131350503112013,131350504463-bg_centroid,7081.166974607536,Gwinett_GA,,33.8834586,-84.193294,33.9461442,-84.2068181,,44,18,26,42,25,0,0,0,0,17,311571.3468827316,12.524084841500365,1,1.0
789508,131350503112014,131350504463-bg_centroid,6991.393641667178,Gwinett_GA,,33.8834586,-84.193294,33.9449777,-84.2089437,,28,1,27,22,21,0,0,1,0,0,195759.02196668097,12.129112968727625,1,1.0
790099,131350503112016,131350504463-bg_centroid,6727.988813561863,Gwinett_GA,,33.8834586,-84.193294,33.9426117,-84.2086266,,33,0,33,31,4,24,0,3,0,0,222023.63084754147,11.040662915250214,1,1.0
790690,131350503112017,131350504463-bg_centroid,6881.280090594506,Gwinett_GA,,33.8834586,-84.193294,33.9435442,-84.2111443,,31,4,27,30,26,0,0,0,0,4,213319.68280842967,11.661619660576992,1,1.0
791281,131350503112020,131350504463-bg_centroid,6718.645768486123,Gwinett_GA,,33.8834586,-84.193294,33.9416185,-84.21303,,1,0,1,1,1,0,0,0,0,0,6718.645768486123,11.00390318479897,1,1.0
791872,131350503112021,131350504463-bg_centroid,6685.430062068567,Gwinett_GA,,33.8834586,-84.193294,33.9414381,-84.2124681,,11,3,8,8,1,0,0,4,0,3,73539.73068275423,10.874205892187632,1,1.0
792463,131350503112023,131350504463-bg_centroid,6617.453188789579,Gwinett_GA,,33.8834586,-84.193294,33.9410539,-84.2113474,,40,2,38,37,29,5,1,1,0,1,264698.12755158317,10.613522653905408,1,1.0
793054,131350503112024,131350504463-bg_centroid,6867.685101829484,Gwinett_GA,,33.8834586,-84.193294,33.9439838,-84.2081162,,7,3,4,6,2,0,0,0,0,4,48073.795712806386,11.6051653511693,1,1.0
793645,131350503112025,131350504463-bg_centroid,6800.720412111148,Gwinett_GA,,33.8834586,-84.193294,33.9434833,-84.2074296,,20,5,15,20,18,1,0,1,0,0,136014.40824222297,11.331052305093559,1,1.0
794236,131350503112028,131350504463-bg_centroid,6711.9485210604125,Gwinett_GA,,33.8834586,-84.193294,33.9408895,-84.2156836,,60,0,60,60,56,4,0,0,0,0,402716.91126362473,10.977628542608695,1,1.0
794827,131350503112029,131350504463-bg_centroid,6913.255637339476,Gwinett_GA,,33.8834586,-84.193294,33.9423599,-84.2172739,,54,4,50,52,52,0,0,0,0,0,373315.8044163317,11.795485696875211,1,1.0
795418,131350503112030,131350504463-bg_centroid,6957.466416400628,Gwinett_GA,,33.8834586,-84.193294,33.941491,-84.2214821,,184,10,174,179,75,76,0,22,0,6,1280173.8206177156,11.983109558764466,1,1.0
796009,131350503112031,131350504463-bg_centroid,7002.258331206886,Gwinett_GA,,33.8834586,-84.193294,33.9421029,-84.2209407,,19,0,19,18,18,0,0,0,0,0,133042.90829293084,12.176243408401712,1,1.0
