,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
1850692,131350505681010,131350507572-bg_centroid,1135.487470877409,Gwinett_GA,,33.9051922,-84.0311003,33.9132312,-84.0386878,,52,13,39,50,26,16,1,6,0,1,59045.34848562526,1.499778196048926,1,1.0
1851283,131350505682000,131350507572-bg_centroid,2586.80282403962,Gwinett_GA,,33.9051922,-84.0311003,33.925406,-84.0449763,,417,60,357,370,63,230,0,52,0,25,1078696.7776245216,2.517762479471037,1,1.0
1851874,131350505682001,131350507572-bg_centroid,2539.393515876584,Gwinett_GA,,33.9051922,-84.0311003,33.926359,-84.0414318,,80,32,48,66,6,42,0,6,0,12,203151.4812701267,2.475512986601518,1,1.0
1852465,131350505682002,131350507572-bg_centroid,2733.1229010533125,Gwinett_GA,,33.9051922,-84.0311003,33.9278161,-84.0426782,,78,7,71,73,7,40,1,22,0,3,213183.5862821584,2.652758905166802,1,1.0
1853056,131350505682003,131350507572-bg_centroid,2675.503498877329,Gwinett_GA,,33.9051922,-84.0311003,33.9245014,-84.0483998,,420,78,342,384,56,230,1,64,0,33,1123711.469528478,2.598755552147197,1,1.0
1853647,131350505682004,131350507572-bg_centroid,2937.577906700381,Gwinett_GA,,33.9051922,-84.0311003,33.9263221,-84.0502086,,78,3,75,76,9,58,0,9,0,0,229131.07672262972,2.8535998565963285,1,1.0
1854238,131350505682006,131350507572-bg_centroid,2468.8279102996357,Gwinett_GA,,33.9051922,-84.0311003,33.9205256,-84.0504494,,69,22,47,62,21,7,0,24,0,10,170349.12581067486,2.4139367952776656,1,1.0
1854829,131350505682007,131350507572-bg_centroid,2572.883082097952,Gwinett_GA,,33.9051922,-84.0311003,33.9213382,-84.0510717,,56,16,40,47,1,11,0,25,0,10,144081.4525974853,2.50528346860641,1,1.0
1855420,131350505682008,131350507572-bg_centroid,2178.331387355784,Gwinett_GA,,33.9051922,-84.0311003,33.9218968,-84.043432,,12,2,10,10,4,4,1,0,0,1,26139.97664826941,2.176166696890649,1,1.0
1856011,131350505682009,131350507572-bg_centroid,2253.8173990622727,Gwinett_GA,,33.9051922,-84.0311003,33.9238905,-84.0405277,,170,67,103,146,35,48,0,20,0,43,383148.9578405864,2.2356007764106955,1,1.0
1856602,131350505682010,131350507572-bg_centroid,1837.664382750805,Gwinett_GA,,33.9051922,-84.0311003,33.9192953,-84.0414818,,276,63,213,244,78,114,0,24,0,28,507195.3696392222,1.9269960761046232,1,1.0
1857193,131350505682011,131350507572-bg_centroid,1664.30481387193,Gwinett_GA,,33.9051922,-84.0311003,33.9179782,-84.040476,,106,16,90,99,33,50,0,8,0,8,176416.31027042458,1.8113653455554257,1,1.0
1857784,131350505682012,131350507572-bg_centroid,1824.015956551485,Gwinett_GA,,33.9051922,-84.0311003,33.9159859,-84.0459842,,234,60,174,197,49,95,2,19,1,31,426819.7338330475,1.9176308419446533,1,1.0
1858217,131350505691000,131350505881-bg_centroid,9066.509214574424,Gwinett_GA,,33.9234766,-83.9019497,33.9743256,-83.9787866,,10,5,5,6,1,5,0,0,0,0,90665.09214574425,25.440189544624996,1,1.0
1858808,131350505691001,131350505881-bg_centroid,9264.617257882412,Gwinett_GA,,33.9234766,-83.9019497,33.9724459,-83.9832101,,21,7,14,18,8,5,1,0,0,4,194556.96241553064,27.3043416178648,1,1.0
1859399,131350505691005,131350505881-bg_centroid,8596.476327999939,Gwinett_GA,,33.9234766,-83.9019497,33.9652478,-83.9803673,,16,15,1,9,1,0,0,1,0,7,137543.62124799902,21.510687201784446,1,1.0
1859990,131350505691007,131350505881-bg_centroid,9078.245261121703,Gwinett_GA,,33.9234766,-83.9019497,33.9694683,-83.9832647,,53,26,27,32,25,7,0,0,0,0,481146.99883945024,25.54698797779384,1,1.0
1860581,131350505691008,131350505881-bg_centroid,8878.62991503809,Gwinett_GA,,33.9234766,-83.9019497,33.9703788,-83.9798472,,27,17,10,20,13,2,0,0,0,5,239723.0077060284,23.790012504484423,1,1.0
1861172,131350505691009,131350505881-bg_centroid,8362.439651582225,Gwinett_GA,,33.9234766,-83.9019497,33.9570184,-83.9830843,,4,0,4,4,1,1,2,0,0,0,33449.7586063289,19.78668968870976,1,1.0
1861763,131350505691011,131350505881-bg_centroid,8402.458234683445,Gwinett_GA,,33.9234766,-83.9019497,33.9601648,-83.9815791,,40,16,24,32,16,4,1,1,0,10,336098.3293873378,20.071367204422383,1,1.0
1862354,131350505691012,131350505881-bg_centroid,7985.817052733184,Gwinett_GA,,33.9234766,-83.9019497,33.9591137,-83.9771085,,16,6,10,13,2,6,0,0,0,5,127773.07284373094,17.29767997242057,1,1.0
1862945,131350505691014,131350505881-bg_centroid,7329.218997494762,Gwinett_GA,,33.9234766,-83.9019497,33.9588534,-83.9689871,,938,120,818,881,111,694,3,11,0,62,6874807.419650087,13.68358356184859,1,1.0
1863536,131350505691015,131350505881-bg_centroid,7161.585027616619,Gwinett_GA,,33.9234766,-83.9019497,33.961447,-83.9646576,,132,36,96,123,59,38,0,0,0,26,945329.2236453937,12.888805631551191,1,1.0
1864127,131350505691016,131350505881-bg_centroid,7434.189271652955,Gwinett_GA,,33.9234766,-83.9019497,33.9646466,-83.9654484,,143,16,127,130,6,116,0,1,0,7,1063089.0658463724,14.206028737037622,1,1.0
1864718,131350505691017,131350505881-bg_centroid,7338.709818834059,Gwinett_GA,,33.9234766,-83.9019497,33.9644413,-83.9643261,,48,20,28,40,20,10,1,0,0,9,352258.0713040348,13.730019285811291,1,1.0
1865309,131350505691018,131350505881-bg_centroid,7078.805370495553,Gwinett_GA,,33.9234766,-83.9019497,33.9621943,-83.9628637,,90,46,44,71,41,4,0,2,0,24,637092.4833445997,12.51353167535739,1,1.0
1865900,131350505691019,131350505881-bg_centroid,8125.150495471077,Gwinett_GA,,33.9234766,-83.9019497,33.957556,-83.9798619,,25,12,13,16,4,6,5,0,0,1,203128.76238677694,18.17974513630231,1,1.0
1866491,131350505691024,131350505881-bg_centroid,8945.746536099354,Gwinett_GA,,33.9234766,-83.9019497,33.9670461,-83.9834758,,21,9,12,17,6,9,1,0,0,1,187860.67725808642,24.36684561139871,1,1.0
1867082,131350505692000,131350505881-bg_centroid,6463.421849155001,Gwinett_GA,,33.9234766,-83.9019497,33.962843,-83.9535016,,1026,240,786,919,212,508,14,60,0,125,6631470.817233031,10.045720757661007,1,1.0
1867673,131350505692001,131350505881-bg_centroid,6875.026078349377,Gwinett_GA,,33.9234766,-83.9019497,33.9662515,-83.955765,,60,10,50,45,14,20,0,7,2,2,412501.5647009626,11.635615331774966,1,1.0
1868264,131350505692002,131350505881-bg_centroid,6821.184412471398,Gwinett_GA,,33.9234766,-83.9019497,33.9643607,-83.9570787,,52,15,37,48,18,12,0,6,0,12,354701.5894485127,11.41412545162851,1,1.0
1868855,131350505693000,131350505881-bg_centroid,6954.872639113297,Gwinett_GA,,33.9234766,-83.9019497,33.9639484,-83.9594333,,378,98,280,320,82,179,5,16,0,38,2628941.857584826,11.972020009421069,1,1.0
1869446,131350505693001,131350505881-bg_centroid,6717.047956044165,Gwinett_GA,,33.9234766,-83.9019497,33.9593339,-83.9605488,,91,21,70,74,14,41,3,2,1,13,611251.364000019,10.997628940376421,1,1.0
1870037,131350505693002,131350505881-bg_centroid,7138.251075092983,Gwinett_GA,,33.9234766,-83.9019497,33.9645654,-83.9614054,,127,21,106,121,44,55,1,11,0,10,906557.8865368089,12.781898591964195,1,1.0
1870628,131350505693003,131350505881-bg_centroid,6825.580390784113,Gwinett_GA,,33.9234766,-83.9019497,33.9587656,-83.9624914,,21,3,18,15,6,9,0,0,0,0,143337.18820646638,11.432050142889237,1,1.0
1871219,131350505693004,131350505881-bg_centroid,6779.735025119568,Gwinett_GA,,33.9234766,-83.9019497,33.9582359,-83.9623309,,10,1,9,9,0,7,0,2,0,0,67797.35025119568,11.246490480123223,1,1.0
1871810,131350505693005,131350505881-bg_centroid,6611.049773207818,Gwinett_GA,,33.9234766,-83.9019497,33.9561982,-83.9617841,,99,21,78,92,15,60,2,4,0,11,654493.927547574,10.589290740295409,1,1.0
1872401,131350505693006,131350505881-bg_centroid,6628.63449439831,Gwinett_GA,,33.9234766,-83.9019497,33.9567337,-83.9615836,,33,6,27,30,8,16,1,0,0,5,218744.93831514425,10.655968163889202,1,1.0
1872992,131350505693007,131350505881-bg_centroid,6681.563805953376,Gwinett_GA,,33.9234766,-83.9019497,33.957227,-83.9618745,,32,6,26,31,8,16,0,7,0,0,213810.04179050802,10.859209000899524,1,1.0
1873583,131350505693008,131350505881-bg_centroid,6728.225541823776,Gwinett_GA,,33.9234766,-83.9019497,33.9577365,-83.9620678,,28,10,18,25,3,15,1,1,0,5,188390.31517106574,11.041595903827194,1,1.0
1874174,131350505693009,131350505881-bg_centroid,6707.781691068311,Gwinett_GA,,33.9234766,-83.9019497,33.9559516,-83.9632269,,61,0,61,58,4,54,0,0,0,0,409174.683155167,10.961312903443666,1,1.0
1874765,131350505693010,131350505881-bg_centroid,6727.040886300551,Gwinett_GA,,33.9234766,-83.9019497,33.9563684,-83.9631521,,6,2,4,6,0,2,1,2,0,1,40362.24531780331,11.036927753551105,1,1.0
1875356,131350505693011,131350505881-bg_centroid,6776.702790910823,Gwinett_GA,,33.9234766,-83.9019497,33.9567204,-83.9635186,,24,3,21,20,5,12,0,3,0,0,162640.86698185976,11.234324209632453,1,1.0
