,id_dest,H7X001
1100,poll_2016_1,32
1101,poll_2016_1,31
1102,poll_2016_1,230
1103,poll_2016_1,48
1104,poll_2016_1,31
1105,poll_2016_1,49
1106,poll_2016_1,328
1107,poll_2016_3,107
1108,poll_2016_3,64
1109,poll_2016_3,98
1110,poll_2016_3,54
1111,poll_2016_3,51
1112,poll_2016_3,12
1113,poll_2016_3,44
1114,poll_2016_3,162
1115,poll_2016_3,36
1116,poll_2016_3,69
1117,poll_2016_3,39
1118,poll_2016_3,869
1119,poll_2016_3,44
1120,poll_2016_3,592
1121,poll_2016_3,25
1122,poll_2016_3,55
1123,poll_2016_3,83
1124,poll_2016_3,34
1125,poll_2016_1,294
1126,poll_2016_1,77
1127,poll_2016_1,12
1128,poll_2016_1,129
1129,410470016022,38
1130,poll_2016_1,2
1131,poll_2016_3,6
1132,poll_2016_3,7
1133,poll_2016_3,15
1134,poll_2016_3,24
1135,poll_2016_3,84
1136,poll_2016_3,4
1137,poll_2016_3,3
1138,poll_2016_3,24
1139,poll_2016_3,68
1140,poll_2016_3,13
1141,poll_2016_1,34
1142,poll_2016_3,5
1143,poll_2016_1,4
1144,poll_2016_1,91
1145,poll_2016_3,28
1146,poll_2016_3,2
1147,poll_2016_1,134
1148,poll_2016_1,20
1149,poll_2016_1,112
1150,poll_2016_1,37
1151,poll_2016_1,30
1152,poll_2016_1,78
1153,poll_2016_1,86
1154,poll_2016_1,27
1155,poll_2016_1,79
1156,poll_2016_1,32
1157,poll_2016_1,30
1158,poll_2016_1,56
1159,poll_2016_1,63
1160,poll_2016_1,51
1161,poll_2016_1,14
1162,poll_2016_1,40
1163,poll_2016_1,17
1164,poll_2016_1,68
1165,poll_2016_1,19
1166,poll_2016_1,33
1167,poll_2016_1,20
1168,poll_2016_1,189
1169,poll_2016_1,41
1170,poll_2016_1,32
1171,poll_2016_1,11
1172,poll_2016_1,1
1173,poll_2016_1,66
1174,poll_2016_1,2
1175,poll_2016_1,10
1176,poll_2016_1,15
1177,poll_2016_1,26
1178,poll_2016_1,25
1179,poll_2016_1,249
1180,poll_2016_1,44
1181,410470016022,12
1182,poll_2016_1,26
1183,410470016042,36
1184,410470016042,192
1185,410470016042,240
1186,410470016042,9
1187,410470016042,186
1188,410470016042,23
1189,410470016042,218
1190,410470016022,12
1191,410470016042,86
1192,410470016022,154
1193,410470016042,92
1194,410470016022,50
1195,poll_2016_1,14
1196,poll_2016_1,54
1197,poll_2016_1,36
1198,poll_2016_1,42
1199,poll_2016_1,130
1200,poll_2016_1,51
1201,poll_2016_1,39
1202,poll_2016_1,81
1203,poll_2016_1,5
1204,410470016042,53
1205,410470016042,109
1206,410470016042,32
1207,410470016042,54
1208,410470016042,58
1209,410470016042,85
1210,410470016042,456
1211,poll_2016_1,10
1212,poll_2016_1,185
1213,poll_2016_3,29
1214,poll_2016_3,28
1215,poll_2016_3,23
1216,poll_2016_3,29
1217,poll_2016_3,34
1218,poll_2016_3,25
1219,poll_2016_3,11
1220,poll_2016_1,43
1221,poll_2016_1,21
1222,poll_2016_1,25
1223,poll_2016_1,41
1224,poll_2016_1,129
1225,poll_2016_3,27
1226,poll_2016_3,61
1227,poll_2016_3,28
1228,poll_2016_3,40
1229,poll_2016_3,68
1230,poll_2016_3,80
1231,poll_2016_3,46
1232,poll_2016_3,14
1233,poll_2016_3,5
1234,poll_2016_1,132
1235,poll_2016_3,77
1236,poll_2016_1,2
1237,poll_2016_3,24
1238,poll_2016_3,36
1239,poll_2016_3,55
1240,poll_2016_3,81
1241,poll_2016_3,57
1242,poll_2016_3,36
1243,poll_2016_3,296
1244,school_523,30
1245,poll_2016_3,382
1246,poll_2016_3,30
1247,poll_2016_3,5
1248,poll_2016_3,24
1249,poll_2016_3,23
1250,poll_2016_3,21
1251,poll_2016_3,24
1252,poll_2016_3,9
1253,poll_2016_3,7
1254,poll_2016_3,21
1255,poll_2016_3,18
1256,poll_2016_3,25
1257,poll_2016_3,257
1258,poll_2016_3,150
1259,poll_2016_3,643
1260,poll_2016_1,4
1261,poll_2016_1,42
1262,poll_2016_3,17
1263,poll_2016_3,34
1264,poll_2016_3,36
1265,poll_2016_3,12
1266,poll_2016_3,12
