,index,id_orig,id_dest,distance_m,H7X001,H7X002,H7X003,H7X004,H7X005,H7Z010,pop_distance
234,234,410470018024023,poll_2016_1,7755.7,49,32,0,0,3,20,380029.3
235,235,410470018024024,poll_2016_1,7672.1,62,42,0,2,0,37,475670.2
236,236,410470018025012,410470016042,6594.0,40,37,1,0,0,4,263760.0
237,237,410470018031020,poll_2016_1,6631.5,47,33,0,0,7,12,311680.5
238,238,410470018031022,poll_2016_1,6599.8,38,37,0,0,1,5,250792.4
239,239,410470018032069,school_523,6857.0,8,8,0,0,0,0,54856.0
240,240,410470018032080,school_523,7516.2,28,27,1,0,0,4,210453.6
241,241,410470020001000,poll_2016_3,2841.1,7,7,0,0,0,0,19887.7
242,242,410470020001001,school_523,2597.3,81,81,0,0,0,0,210381.30000000002
243,243,410470020001006,school_523,2581.0,152,147,4,0,0,4,392312.0
244,244,410470020002013,school_523,3882.3,122,113,4,0,2,2,473640.60000000003
245,245,410470020003013,school_523,5123.6,83,69,3,3,5,4,425258.80000000005
246,246,410470020003021,school_523,5013.7,11,10,0,0,0,0,55150.7
247,247,410470020003025,school_523,5229.9,144,125,0,0,4,15,753105.6
248,248,410470020003027,school_523,5230.3,52,47,0,1,1,1,271975.60000000003
249,249,410470020003029,school_523,5394.5,41,37,0,0,4,2,221174.5
250,250,410470020004007,school_523,4932.3,83,77,0,0,5,1,409380.9
251,251,410470020004009,school_523,4872.4,10,9,0,1,0,0,48724.0
252,252,410470020004025,school_523,5357.3,26,24,0,0,0,8,139289.80000000002
253,253,410470020004033,school_523,4763.4,80,64,4,0,4,10,381072.0
254,254,410470020004034,school_523,5627.6,181,167,2,6,0,22,1018595.6000000001
255,255,410470021011008,poll_2016_3,652.8,55,53,0,1,1,2,35904.0
256,256,410470021011015,poll_2016_3,1033.7,48,46,0,0,0,6,49617.600000000006
257,257,410470021021001,school_523,1048.3,272,249,3,1,3,16,285137.6
258,258,410470021021008,school_523,36.7,72,70,0,0,0,1,2642.4
259,259,410470021021016,school_523,999.9,78,73,0,0,3,5,77992.2
260,260,410470021021018,school_523,962.7,57,53,0,0,2,1,54873.9
261,261,410470021021020,school_523,1828.7,9,8,0,0,0,0,16458.3
262,262,410470021021022,school_523,428.6,13,13,0,0,0,0,5571.8
263,263,410470021023000,410470021022,725.6,40,39,0,0,0,0,29024.0
264,264,410470021023001,410470021022,699.8,87,86,0,0,1,0,60882.6
265,265,410470021023002,410470021022,405.6,29,29,0,0,0,3,11762.400000000001
266,266,410470021023003,410470021022,668.9,94,71,5,2,1,6,62876.6
267,267,410470021023008,410470021022,885.7,67,57,0,4,5,3,59341.9
268,268,410470021023010,410470021022,1333.9,50,46,0,1,1,1,66695.0
269,269,410470021024005,410470021022,1176.4,39,36,0,0,2,3,45879.600000000006
270,270,410470021024008,410470021022,806.1,31,31,0,0,0,0,24989.100000000002
271,271,410470021024016,school_523,2530.5,456,353,9,9,10,62,1153908.0
272,272,410470021024018,school_523,2496.0,11,11,0,0,0,2,27456.0
