,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
712,131350501053036,Bogan Park Community Recreation Center,3173.1166576766623,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1155285,-84.000658,EV_2022_2020,polling,11,2,9,5,5,0,0,0,0,1,34904.28323444328,3.1038953710859136,0,1.0
721,131350501053037,Bogan Park Community Recreation Center,3099.5150640180245,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1137625,-84.00051,EV_2022_2020,polling,22,5,17,7,8,0,2,0,4,1,68189.33140839654,3.0234104510334707,0,1.0
730,131350501053038,Bogan Park Community Recreation Center,3245.942263562904,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1174298,-84.0006065,EV_2022_2020,polling,55,2,53,50,2,0,0,0,2,1,178526.8244959597,3.1856403260112685,0,1.0
739,131350501053039,Bogan Park Community Recreation Center,3299.8516532682665,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1194585,-84.0001025,EV_2022_2020,polling,24,4,20,15,0,1,1,0,3,4,79196.4396784384,3.247535840867676,0,1.0
748,131350501053040,Bogan Park Community Recreation Center,3190.331644165124,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1184243,-83.9993954,EV_2022_2020,polling,15,2,13,15,0,0,0,0,0,0,47854.97466247686,3.1230274217399483,0,1.0
757,131350501053041,Bogan Park Community Recreation Center,3045.490942326838,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1170769,-83.9984166,EV_2022_2020,polling,25,1,24,21,1,0,3,0,0,0,76137.27355817096,2.96566513372224,0,1.0
766,131350501053042,Bogan Park Community Recreation Center,2847.031430813095,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.114771,-83.9972221,EV_2022_2020,polling,6,2,4,3,0,1,0,0,1,1,17082.18858487857,2.762843335627197,0,1.0
775,131350501053043,Bogan Park Community Recreation Center,2955.66278169337,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1104993,-83.9998254,EV_2022_2020,polling,2,0,2,0,0,0,2,0,0,0,5911.32556338674,2.872080787597475,0,1.0
784,131350501053044,Bogan Park Community Recreation Center,3070.4044380654605,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1114157,-84.000885,EV_2022_2020,polling,83,5,78,30,6,0,42,0,2,3,254843.5683594332,2.9921563571717287,0,1.0
793,131350501053045,Bogan Park Community Recreation Center,3281.843852279731,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1138984,-84.0025231,EV_2022_2020,polling,102,23,79,60,20,2,0,0,13,7,334748.0729325326,3.226727747612657,0,1.0
802,131350501053046,Bogan Park Community Recreation Center,3369.11303338234,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.114572,-84.0032748,EV_2022_2020,polling,18,6,12,12,0,0,0,0,6,0,60644.034600882114,3.328825899379045,0,1.0
811,131350501053047,Bogan Park Community Recreation Center,3574.519274354572,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1153818,-84.00531,EV_2022_2020,polling,19,7,12,8,4,0,0,0,0,7,67915.86621273687,3.582068105630268,0,1.0
820,131350501053048,Bogan Park Community Recreation Center,3689.2429363518095,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1148926,-84.0067824,EV_2022_2020,polling,20,9,11,12,0,0,3,0,4,1,73784.85872703619,3.731802759988371,0,1.0
829,131350501053049,Bogan Park Community Recreation Center,3604.418003514739,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1143594,-84.0060038,EV_2022_2020,polling,18,4,14,14,0,0,0,0,3,1,64879.52406326531,3.620502394176977,0,1.0
838,131350501053050,Bogan Park Community Recreation Center,3456.255369712929,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1141506,-84.0044046,EV_2022_2020,polling,22,13,9,4,8,0,0,0,6,4,76037.61813368445,3.433999091171002,0,1.0
847,131350501053051,Bogan Park Community Recreation Center,3374.7582681168674,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1119579,-84.0041254,EV_2022_2020,polling,44,21,23,31,4,0,1,0,4,4,148489.36379714217,3.335540550443858,0,1.0
910,131350501053064,Bogan Park Community Recreation Center,3139.567737108178,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1132444,-84.0011372,EV_2022_2020,polling,36,0,36,20,16,0,0,0,0,0,113024.4385358944,3.0669465569489005,0,1.0
928,131350501101001,Bogan Park Community Recreation Center,4461.648745393893,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1398777,-83.9940384,EV_2022_2020,polling,27,0,27,18,6,1,0,0,0,2,120464.5161256351,4.916540183537294,0,1.0
